invocation,candidate,exit,duration_us
284,9,w0,8918
284,10,z,7469
284,11,z,7452
284,12,w0,8924
284,13,z,7458
284,14,w0,8930
284,15,z,7463
284,16,w0,8921
284,17,z,7452
284,18,w0,8913
284,19,w0,8919
284,20,w0,8907
284,21,accept,10540
285,1,z,7511
285,2,z,7480
285,3,accept,10548
286,1,z,7525
286,2,z,7474
286,3,z,7463
286,4,z,7452
286,5,accept,10549
287,1,z,7510
287,2,z,7476
287,3,z,7451
287,4,accept,10548
288,1,z,7534
288,2,w0,8948
288,3,accept,10540
289,1,z,7502
289,2,z,7451
289,3,hint,10548
289,4,w0,8940
289,5,w0,8927
289,6,z,7456
289,7,z,7448
289,8,accept,10536
290,1,accept,10615
291,1,accept,10615
292,1,accept,10603
293,1,accept,10604
294,1,z,7525
294,2,z,7458
294,3,z,7479
294,4,accept,10548
295,1,accept,10603
296,1,w0,8976
296,2,z,7470
296,3,w0,8927
296,4,w0,8937
296,5,w0,8939
296,6,accept,10540
297,1,accept,10603
298,1,w0,8981
298,2,z,7447
298,3,accept,10540
299,1,w0,8981
299,2,z,7467
299,3,z,7474
299,4,w0,8930
299,5,w0,8908
299,6,w0,8929
299,7,z,7460
299,8,z,7480
299,9,accept,10540
300,1,w0,8972
300,2,z,7451
300,3,z,7473
300,4,w0,8924
300,5,w0,8938
300,6,accept,10540
301,1,w0,8989
301,2,w0,8933
301,3,w0,8912
301,4,z,7482
301,5,w0,8911
301,6,z,7481
301,7,accept,10540
302,1,accept,10603
303,1,w0,8989
303,2,accept,10540
304,1,z,7529
304,2,z,7453
304,3,w0,8916
304,4,hint,10540
304,5,accept,10536
305,1,accept,10603
306,1,accept,10604
307,1,accept,10607
308,1,z,7518
308,2,z,7458
308,3,w0,8945
308,4,z,7464
308,5,z,7472
308,6,w0,8926
308,7,w0,8929
308,8,accept,10540
309,1,w0,8969
309,2,z,7485
309,3,z,7452
309,4,z,7452
309,5,w0,8912
309,6,accept,10541
310,1,z,7513
310,2,z,7456
310,3,z,7465
310,4,w0,8912
310,5,w0,8916
310,6,accept,10540
311,1,w0,8989
311,2,w0,8937
311,3,z,7456
311,4,z,7465
311,5,accept,10540
312,1,z,7527
312,2,w0,8938
312,3,z,7458
312,4,w0,8913
312,5,z,7462
312,6,w0,8904
312,7,w0,8912
312,8,accept,10540
313,1,z,7520
313,2,z,7470
313,3,z,7466
313,4,w0,8925
313,5,z,7467
313,6,z,7452
313,7,z,7448
313,8,w0,8934
